,MD,mf1,mf2,mH,mA,mE1,mE2,mu->e gamma,alfa,delta,y1,rho1,eta2,eta3,f2,f3,f1,rho2,rho3,k,I1,I2,mu,Rmuv
691,1867.52968854,1867.03492578,2046.74034938,945.389132146,947.280180688,950.022081645,1866.61599566,8.1949675608e-19,0.0524949338642,0.00213839524274,0.000496741063205,0.000136174613475,-0.0024646365447,-0.00302951013588,-0.000513722713951,-0.000220185546449,-0.000142398512723,0.107914851684,0.000837610164682,1.13516591868e-05,0.527680087059,0.489165823234,31.7376350395,0.129014776583
735,1047.1466917,1045.54930102,1176.58159743,892.574739355,898.417530134,898.132100634,1044.99045426,2.93542894604e-20,-0.110637605421,0.0116106556163,0.000158764996494,0.0815990094291,-0.000787730351613,-0.00096827140281,0.000458729569369,0.000196615057425,0.00012715499363,0.000125950254978,0.869926001154,-3.97746787835e-05,0.143758433588,0.131938686259,19.0456785909,0.0774214576867
852,1059.12071944,1056.38163107,1363.64873715,775.379197286,784.855016604,785.291298859,1055.68825371,3.47958739463e-17,-0.0945567091652,0.000377497885806,0.00105609256989,0.00487484720237,-0.00523992183278,-0.00644086704702,0.000779785424255,0.000334222091198,0.000216148287084,0.0282874664928,0.0102537583808,-3.5175564376e-06,0.266750075101,0.21812407186,1.08030188634,0.00439147108269
864,1911.25425481,1900.52202192,2640.50530492,961.894077435,963.57491443,967.962345855,1899.68328943,1.26506952021e-15,-0.120722856929,3.81056008993e-05,0.000113169626487,0.0113504413984,-0.000561503805203,-0.000690195669157,0.0213281506743,0.00914141108313,0.00591193819674,0.0537312907926,0.0253372522415,-1.20014879049e-06,0.526927307954,0.395014547113,0.585302050724,0.00237927662896
914,823.279494061,822.977204379,873.355457641,516.704510937,525.174004352,518.229668517,822.499727979,8.24795097276e-15,0.0775399277045,-0.0118897140367,0.000152270610865,0.325217938334,-0.000755507728315,-0.000928663630177,0.000763986103903,0.000327450379746,0.000211768882282,0.00170975705939,0.00334468889248,-2.49009906482e-05,0.391621185439,0.373934867962,-27.8811524431,-0.113338018062
940,1508.70842135,1508.67366701,1940.31434914,849.434330753,856.22325249,849.61026856,1508.37216768,2.63240165857e-17,0.00897323756117,0.00266507122095,0.000257070935545,0.000129068625648,-0.00127548630314,-0.00156781684173,-0.00259945667808,-0.0011141473281,-0.000720541947616,0.00694015445643,0.192122265486,4.3349352255e-06,0.466445865871,0.377434301966,23.7988347042,0.0967432305047
960,1780.73423502,1777.60870342,2193.38038748,922.06261688,925.996727258,930.819925804,1777.10703298,2.97699687997e-18,-0.0868120731195,-0.00178438172405,0.000273390265403,0.0603003628015,-0.00135645649009,-0.00166734470218,-0.000362324166565,-0.000155294952783,-0.000100432433765,0.00042080229355,0.606350613381,2.92440707547e-05,0.510901946051,0.427716972972,-23.5083098278,-0.0955622350722
1022,1214.26051178,1213.88168872,1991.167014,575.219982141,582.947292316,583.980654904,1213.27820659,2.61573692271e-18,-0.022078179294,0.000720377215717,0.000431577398987,0.000224256506321,-0.00214131971,-0.00263209185126,0.00246937882072,0.00105839494783,0.000684485738842,0.0427008747461,0.232000549272,-2.71813962782e-06,0.558808401346,0.354226396381,4.68388673593,0.0190401899835
1033,1628.43894505,1624.56676035,2605.68682118,818.252132549,823.952181314,826.132752441,1623.73234876,6.82893899795e-14,0.0628641489427,-0.00202598087653,0.00010214157126,0.730928851919,-0.000506786871285,-0.00062293808253,0.00091850945559,0.000393680288812,0.000254601124003,0.00441128793769,0.309429438856,-3.08767803676e-05,0.527747027074,0.343765442495,-22.7583693109,-0.0925136963859
1041,926.469922715,926.451962118,1199.76109475,643.618813282,647.142762696,650.304911921,925.838322704,2.58807529952e-13,0.0081065872083,-0.0069460757739,0.000160564800313,0.0608849002394,-0.000796660280291,-0.000979247994673,0.00331222997117,0.00141964749925,0.000918115179417,0.00738392751785,0.000153997582497,-5.44687424175e-06,0.311849657966,0.253542293329,-17.3410499247,-0.0704920728647
1090,940.299698978,938.712397756,986.398126171,675.728306295,677.754733042,676.98879615,938.333843059,4.24553751302e-17,0.183474112565,0.00226598850467,0.000153932711177,0.0132554031251,-0.000763754425585,-0.000938800399843,-0.00213146318024,-0.00091356167896,-0.000590819090818,0.00635072901516,0.234579681694,8.82895739421e-06,0.291090933728,0.280495894736,5.49932846328,0.0223549937532
1143,1142.54978084,1141.75400025,1719.47786798,797.878743369,801.661469689,805.060720852,1141.53250773,1.38610625195e-18,-0.0371224190999,-0.00373358815522,0.000142997032326,0.00344784566856,-0.000709495827425,-0.000872106195606,-0.000927385811317,-0.00039748476384,-0.000257061556099,0.00583174477932,0.00077287074099,2.18439263186e-05,0.308842440593,0.219562625012,-14.0580837963,-0.057146682099
1212,1392.69123875,1392.51348378,2294.63383209,954.206552838,957.273493767,959.641558761,1391.98424106,3.50407768561e-20,-0.0140376012932,-0.00156886436145,0.000168257641928,0.0272519712255,-0.000834829177491,-0.00102616487627,-0.00369185539703,-0.00158235790618,-0.0010233433396,0.000160201301988,0.00294969422959,4.66335732552e-06,0.326143256116,0.212496351155,-9.16982198165,-0.0372756991124
1215,1396.70153279,1385.80132289,1690.44573669,755.104005488,764.105884348,759.072528732,1385.39887254,1.34489106524e-14,0.190302868702,0.000621813515576,0.00018986663347,0.947662638579,-0.000942044614654,-0.00115795317354,-0.00093359011659,-0.000400143977283,-0.000258781324019,0.000775887282217,0.00554210841313,1.63423037775e-05,0.483690431051,0.409739861801,4.80132245525,0.0195175709563
1243,1724.4074228,1723.70996822,2261.17539521,853.98896658,860.648932243,856.446960966,1723.38973774,4.23187192131e-14,0.0360310296369,0.00111508850026,0.000376716865166,0.0062381430957,-0.00186912301331,-0.00229751000252,-0.000888670179275,-0.000380890943154,-0.000246329991634,0.431741002356,0.135607851969,8.65291632453e-06,0.541265384414,0.427663951278,14.3374368031,0.0582822634272
1259,711.17645608,711.023695859,1516.49904273,637.978178142,638.178376336,643.499124199,710.35203574,1.37541208457e-15,0.0137718644817,-0.0166932903013,0.000101758705974,0.00119707323633,-0.00050488724219,-0.000620603074713,0.00254382640038,0.00109030375887,0.00070512182195,0.894906861841,0.0159518805281,-1.11907483232e-05,0.0955234834807,0.0498573580175,-8.68425163699,-0.0353018359227
1342,860.76908975,860.576926649,1360.58635174,747.059184879,748.173504815,750.264235428,859.734578603,2.64592833668e-17,0.0196053105431,0.0261746096341,0.000193673430944,0.000267750221418,-0.000960932467637,-0.00118116996068,-0.00042951335425,-0.000184092760636,-0.000119056567247,0.519150233307,0.00877897623127,3.48234229006e-05,0.129933868139,0.0900654666616,26.5084150543,0.107757784774
1352,876.20682418,875.994082962,889.224912955,765.304119907,770.438927058,766.2607842,875.41725943,1.6349635281e-16,-0.127146102307,0.00402537271646,0.00103500587754,0.0358018576464,-0.00513529784172,-0.00631226413311,0.00173556902226,0.000743878367042,0.000481081409845,0.0131761435284,0.00922999962122,-1.61262529809e-06,0.127214581151,0.125887371876,4.14685443882,0.0168571318651
1386,1181.23704382,1180.77714888,1786.7015402,968.465204727,977.250301735,977.99118142,1180.41720853,2.9289562838e-17,-0.027553390864,-0.00374259196484,0.000124982652553,0.000367222365114,-0.000620115460051,-0.0007622406134,-0.00198617627746,-0.000851290583657,-0.000550547095222,0.598272050304,0.0477931456546,1.16694569562e-05,0.176315550596,0.126528416867,-9.4004423022,-0.0382131800902
1501,1167.98490889,1167.81424668,1300.9286085,844.51434137,851.278127283,850.040477613,1166.99640649,1.1637826309e-21,-0.0358136897038,-0.00602696745498,0.00022357487807,0.000134308836661,-0.00110929185402,-0.00136353204801,-0.00108964260381,-0.000467029285717,-0.000302037425964,0.00133564266439,0.00575957352287,1.18908006056e-05,0.283504373213,0.261188330955,-22.1503676961,-0.0900421451063
1508,1059.59054042,1059.23105255,1804.67790786,671.412108028,674.102820653,671.70721377,1058.5802632,1.86341798394e-18,0.0219618382165,-0.00118892800106,0.00174998482621,0.0036089523406,-0.00868274615256,-0.0106727572197,0.000373782460896,0.000160206066757,0.000103608551983,0.000163182988781,0.0520839156516,-4.42858487509e-06,0.386646617268,0.241782656573,-4.57532320245,-0.0185988748067
1557,1583.56164755,1566.19352629,2513.5314472,797.041778959,799.677228543,806.073953365,1565.54502233,1.75454958166e-21,0.135818835633,0.000201571417609,0.000285086513007,0.000406281214481,-0.00141448873549,-0.00173867744129,-0.00158887414796,-0.000681003804207,-0.000440419139409,0.000324696209658,0.245333761688,6.39516867484e-06,0.520899218057,0.33943253948,2.08720439353,0.00848457070541
1561,879.807731145,871.09655393,1580.52126293,639.076478242,640.157109143,644.53997288,870.92684865,5.46799361309e-17,-0.111039653314,0.00328002901465,0.000126785962355,0.0281784209737,-0.000629062784056,-0.000773238587451,0.00050411766106,0.000216068746156,0.000139736093466,0.00320422711912,0.000530820570763,-4.5322628652e-05,0.270958838675,0.161873595307,6.46922326926,0.0262976555661
1585,1544.60685878,1541.66834648,1638.97148343,890.766437148,897.817844114,896.990374101,1541.14711593,4.15648120354e-20,-0.174667003335,-0.00380065654237,0.000142199537596,0.000528540005907,-0.000705538967803,-0.000867242457641,-0.000566138448703,-0.000242651337596,-0.000156927601021,0.00636437728155,0.0889047078851,3.59829975935e-05,0.445329097564,0.424220891585,-34.3150062656,-0.139491895389
1589,1913.69178836,1911.65780537,2308.83352358,978.333771665,979.214891045,987.351107803,1910.80940734,2.1948539147e-22,-0.0716231951128,0.0010481311991,0.000245954034411,0.000294021163778,-0.00122032855028,-0.00150001740424,0.000835178912976,0.000357964170831,0.000231502777345,0.00050851849819,0.000440351027365,-1.41021296543e-05,0.518814073591,0.442457650283,16.1263078189,0.0655540968246
1705,1375.47829329,1375.09905063,2196.26924278,964.666086395,969.824660809,973.08657146,1374.5691717,1.50085852996e-16,-0.0214919310463,5.06572667633e-05,0.00332068450776,0.0277588035547,-0.0164759489349,-0.020252095346,0.00401432956314,0.00172057283917,0.00111272977395,0.000266264399426,0.000201465580898,-2.1730891064e-07,0.305875777361,0.205866723852,0.274487634596,0.00111580339267
1727,994.688100861,992.155495189,1256.53035479,868.839612626,872.654863601,873.60365386,991.363503715,2.29112951238e-16,0.0980323816448,0.00787195000152,0.000216966031655,0.384613964768,-0.00107650132068,-0.00132322620522,-0.000373171238427,-0.000159944092057,-0.000103439127568,0.00171054055826,0.000156869259408,3.57781816689e-05,0.121062735182,0.101455364349,9.93831385125,0.0403996498018
1793,700.328825107,699.72767896,959.73080321,568.300922695,570.930970682,570.584107508,698.993901569,4.10221443635e-18,-0.0481025662002,0.00827226630482,0.000274672073045,0.000203711178643,-0.00136281632259,-0.00167516215383,0.000445313445588,0.000190864802539,0.000123436185757,0.128986649009,0.00035271192002,-2.36830624935e-05,0.189143988273,0.147711069331,7.75250625988,0.0315142530889
1837,824.628796804,815.000803126,1085.82157703,707.895527907,708.090446037,715.585228115,814.496240311,3.72133166288e-16,-0.189685619227,-0.000161645021015,0.0050922955362,0.000206457131808,-0.0252659959174,-0.0310567458271,-0.000417093760381,-0.000178769626213,-0.000115613986945,0.0467476191775,0.000514876088305,1.36386341917e-06,0.123834588691,0.0995751095525,-0.140637590324,-0.000571697521641
